City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Okha,12,RU,1553305222,98,53.59,142.95,10.58,17.6
Methoni,0,GR,1553302200,100,36.82,21.7,46.4,8.05
Manacapuru,20,BR,1553302800,88,-3.3,-60.62,80.6,3.36
Pundaguitan,12,PH,1553305257,95,6.37,126.17,81.77,2.95
Vila Franca do Campo,75,PT,1553305255,87,37.72,-25.43,57.2,6.93
Jeremie,68,HT,1553305258,100,18.65,-74.12,75.83,4.41
Mwene-Ditu,56,CD,1553305258,98,-7.01,23.45,65.66,4.97
Ayan,0,TR,1553305258,77,40.67,33.6,19.49,2.39
Timra,88,SE,1553305010,70,62.49,17.33,43.0,6.93
Makushino,56,RU,1553305258,71,55.21,67.25,20.66,3.4
Tunoshna,90,RU,1553302800,100,57.55,40.13,30.2,6.71
Great Yarmouth,64,GB,1553305007,93,52.61,1.73,50.0,8.05
Sindor,80,RU,1553305259,89,62.87,51.9,28.13,2.62
Sao Lourenco do Sul,80,BR,1553305079,97,-31.37,-51.98,60.17,5.53
Hambantota,20,LK,1553303400,100,6.12,81.12,75.2,1.12
Yarkovo,24,RU,1553302800,85,54.81,82.6,23.0,6.71
Presidencia Roque Saenz Pena,0,AR,1553305259,64,-26.79,-60.44,64.31,7.99
Hay River,20,CA,1553302800,74,60.82,-115.79,33.8,10.29
Moron,0,VE,1553305248,91,10.49,-68.2,66.56,2.51
Qurbus,40,TN,1553302800,82,36.82,10.57,57.2,5.82
Iguai,92,BR,1553305259,99,-14.76,-40.09,69.8,2.62
Saint-Joseph,0,FR,1553305084,30,43.56,6.97,57.99,5.82
Vardo,20,US,1553304935,48,39.62,-77.74,41.0,25.28
Manokwari,36,ID,1553305260,100,-0.87,134.08,80.78,6.64
Brigantine,20,US,1553305256,86,39.41,-74.36,43.0,12.75
Owosso,1,US,1553305003,59,43.0,-84.18,33.8,10.29
Nabire,32,ID,1553305260,80,-3.36,135.5,79.52,2.73
Liverpool,20,GB,1553305233,76,53.41,-2.98,48.2,5.82
Salta,90,AR,1553302800,87,-24.79,-65.41,62.6,2.24
Nalut,0,LY,1553305261,90,31.86,10.98,39.47,2.73
Tankhoy,20,RU,1553305261,76,51.55,105.12,34.43,6.42
Qasigiannguit,0,GL,1553302200,42,68.82,-51.19,-11.21,6.93
Sisimiut,0,GL,1553305158,61,66.94,-53.67,-34.88,2.73
Juan Aldama,40,MX,1553305216,42,24.94,-107.82,80.6,6.93
Arkadelphia,1,US,1553305205,54,34.12,-93.05,60.8,5.64
Vyshkov,0,RU,1553302800,64,52.48,31.69,35.6,13.42
Lerwick,88,GB,1553302200,97,60.15,-1.15,42.8,44.96
Naberera,0,TZ,1553305262,96,-4.2,36.93,59.72,2.95
Moerai,88,PF,1553305262,99,-22.43,-151.33,79.7,13.02
Paita,12,PE,1553305262,73,-5.09,-81.11,74.93,4.97
Port Moresby,40,PG,1553302800,70,-9.47,147.16,89.6,5.82
Katherine,36,AU,1553302800,74,-14.47,132.26,82.4,9.17
Bluefields,0,NI,1553305263,65,12.01,-83.77,76.28,5.97
Mahajanga,40,MG,1553302800,88,-15.72,46.32,77.0,11.41
Angoche,68,MZ,1553305263,100,-16.23,39.91,77.99,3.96
Marshall,1,US,1553304992,60,39.39,-87.69,46.0,10.45
Viedma,12,AR,1553305263,61,-40.81,-62.99,58.19,6.53
Chake Chake,44,TZ,1553305263,100,-5.25,39.77,80.96,7.76
Vanimo,48,PG,1553305263,99,-2.67,141.3,83.03,11.56
Mayuge,8,UG,1553305264,80,0.46,33.48,66.74,3.96
Anloga,20,GH,1553302800,78,5.79,0.9,82.4,6.93
Kolyvan,64,RU,1553302800,85,55.31,82.74,23.0,6.71
Onega,76,RU,1553305264,93,63.91,38.09,23.0,5.41
Karratha,92,AU,1553305264,63,-20.74,116.85,86.72,31.59
Turukhansk,76,RU,1553305264,84,65.8,87.96,23.0,4.18
Sagua la Grande,20,CU,1553302200,63,22.81,-80.07,64.4,3.36
Batagay,20,RU,1553304969,54,67.65,134.64,9.32,4.29
Gizo,75,IL,1553305183,93,31.8,34.94,57.0,3.36
Beyneu,36,KZ,1553304973,84,45.32,55.19,33.8,2.95
Luau,20,CD,1553305265,85,-10.7,22.23,65.75,3.06
Awjilah,0,LY,1553305265,66,29.14,21.3,63.05,7.65
Chaozhou,90,CN,1553302800,100,23.66,116.62,60.8,8.95
Marsh Harbour,0,BS,1553305042,100,26.54,-77.06,71.24,9.22
Umm Lajj,24,SA,1553305265,100,25.02,37.27,60.08,5.3
Pevek,0,RU,1553305265,76,69.7,170.27,-3.38,2.62
Khorramshahr,20,IR,1553302800,48,30.43,48.18,62.6,6.93
Coahuayana,48,MX,1553305264,43,18.62,-100.35,69.44,4.07
Baykit,76,RU,1553305266,80,61.68,96.39,25.07,10.67
Vestmanna,56,FO,1553304000,64,62.16,-7.17,37.4,28.86
Mount Isa,75,AU,1553302800,51,-20.73,139.49,86.0,18.34
Naifaru,68,MV,1553305266,94,5.44,73.37,85.82,8.99
Garowe,92,SO,1553305266,92,8.41,48.48,68.0,6.76
Silleda,0,ES,1553305249,75,42.7,-8.25,54.0,2.06
Gushikawa,90,JP,1553304787,68,26.35,127.87,71.6,8.05
Urgut,68,UZ,1553305267,91,39.41,67.25,43.7,3.4
Andapa,24,MG,1553305267,95,-14.66,49.65,68.18,2.06
Evensk,8,RU,1553305267,100,61.92,159.24,25.88,13.69
Honningsvag,80,NO,1553305267,92,70.98,25.97,35.15,24.2
Marsa Matruh,40,EG,1553302800,87,31.35,27.25,60.8,5.82
Dzhebariki-Khaya,0,RU,1553305267,51,62.22,135.8,4.55,3.4
Klaksvik,48,FO,1553304000,64,62.23,-6.59,37.4,28.86
San Patricio,0,PY,1553305268,83,-26.98,-56.83,61.25,2.73
Luderitz,0,NA,1553305268,92,-26.65,15.16,57.11,7.87
Chernyshevskiy,80,RU,1553305268,83,63.01,112.47,23.18,4.41
Berezovyy,8,RU,1553305268,58,51.67,135.7,18.32,3.62
Dzerzhinsk,0,RU,1553302800,74,56.24,43.46,33.8,4.47
Havelock,1,US,1553305060,47,34.88,-76.9,59.0,10.29
Conceicao da Barra,92,BR,1553305268,100,-18.59,-39.73,76.55,15.7
Xiuyan,0,CN,1553305269,37,40.29,123.27,37.85,12.24
Mizan Teferi,88,ET,1553305267,92,6.99,35.58,61.7,2.62
Jasdan,0,IN,1553304871,45,22.04,71.2,79.0,9.22
Nanakuli,1,US,1553305187,39,21.39,-158.15,84.2,8.05
Sabaudia,5,IT,1553305264,87,41.3,13.03,55.0,2.24
Bhag,0,PK,1553305269,78,29.04,67.82,65.12,7.31
Novobataysk,40,RU,1553302800,86,46.9,39.78,37.4,13.42
Kauhajoki,92,FI,1553305255,64,62.43,22.18,37.99,7.0
Lixourion,0,GR,1553304655,59,38.2,20.43,55.0,8.77
Puerto Leguizamo,0,CO,1553305270,96,-0.19,-74.78,73.94,1.83
Dawlatabad,88,AF,1553305270,93,36.41,64.91,48.38,5.41
North Platte,90,US,1553304979,53,41.12,-100.77,51.8,12.75
Molepolole,0,BW,1553302800,56,-24.41,25.52,73.4,13.87
Hoquiam,90,US,1553305265,87,46.98,-123.89,52.0,9.17
Howick,32,ZA,1553304941,95,-29.48,30.22,64.0,5.97
Juneau,90,US,1553302560,75,58.3,-134.42,48.2,1.39
Belyye Berega,88,RU,1553305271,78,53.21,34.66,32.63,19.73
Surt,92,LY,1553305271,100,31.21,16.59,58.28,4.97
Surgut,90,RU,1553302800,100,61.25,73.4,24.8,6.71
Ouahigouya,56,BF,1553305271,20,13.58,-2.42,74.57,7.09
Creel,0,MX,1553305271,30,27.75,-107.63,45.68,4.07
Fukue,75,JP,1553305184,39,35.03,136.69,48.99,23.04
Seoul,75,KR,1553303400,52,37.57,126.98,44.6,3.36
Katangli,44,RU,1553305271,98,51.71,143.23,18.23,15.7
Kjollefjord,88,NO,1553305272,87,70.95,27.35,31.91,20.96
Sterling,20,US,1553305265,44,39.0,-77.4,43.0,24.16
Tezu,92,IN,1553305112,100,27.93,96.16,52.25,1.61
Auki,20,NG,1553305272,65,12.18,6.51,68.09,2.73
Maraa,8,BR,1553305272,90,-1.83,-65.37,78.17,3.18
Cervo,80,BR,1553305272,96,-22.19,-46.24,62.42,4.41
Gorgan,0,IR,1553302800,100,36.84,54.43,37.4,2.06
Sarrebourg,0,FR,1553305030,80,48.73,7.05,41.0,3.36
Nangomba,92,TZ,1553305273,95,-10.9,38.52,73.58,1.95
Paracatu,92,BR,1553305273,98,-17.22,-46.87,70.16,6.64
Esna,0,RO,1553305273,79,45.2,27.57,44.33,11.12
Klaeng,0,TH,1553305107,71,12.78,101.65,91.99,11.01
Mansa,0,IN,1553302800,40,23.43,72.66,68.0,3.36
Phalodi,0,IN,1553305273,46,27.13,72.36,69.17,9.22
Codrington,0,AU,1553305094,62,-28.95,153.24,86.0,10.29
Najran,0,SA,1553302800,30,17.54,44.22,69.8,3.4
Hokitika,0,NZ,1553305274,93,-42.72,170.96,65.48,4.63
Okhotsk,56,RU,1553305274,76,59.36,143.24,28.4,3.4
Desaguadero,0,PE,1553305274,91,-16.56,-69.04,38.3,3.4
Sarangani,20,PH,1553305274,94,5.4,125.46,82.04,8.99
Celestun,0,MX,1553305274,100,20.87,-90.4,75.29,18.16
Alofi,40,NU,1553302800,62,-19.06,-169.92,84.2,11.41
Tanabe,75,JP,1553305021,39,33.73,135.39,51.01,11.41
Katangi,0,IN,1553305275,36,21.77,79.8,78.8,7.2
Senador Jose Porfirio,56,BR,1553305275,88,-2.59,-51.95,78.89,5.64
Bala,92,SN,1553305275,42,14.02,-13.17,77.27,5.75
Lang Son,92,VN,1553305275,81,21.83,106.73,64.4,15.03
Mecca,0,SA,1553305054,67,21.43,39.83,55.04,2.62
Okmulgee,40,US,1553305155,41,35.62,-95.96,64.4,4.7
Truth or Consequences,1,US,1553304630,10,33.13,-107.25,66.2,14.99
Bitkine,0,TD,1553305276,56,11.98,18.21,69.98,2.95
Kaspiysk,0,RU,1553302800,70,42.88,47.64,35.6,6.71
Barguzin,76,RU,1553305276,66,53.62,109.63,23.72,4.07
Rybnoye,88,RU,1553305276,89,51.99,47.24,25.34,3.4
Boa Vista,0,BR,1553302800,40,2.82,-60.67,89.6,12.75
Atar,76,MR,1553305276,55,20.52,-13.05,73.22,15.14
Muravlenko,56,RU,1553305277,74,63.79,74.5,13.73,3.06
Paragominas,88,BR,1553305277,98,-3.0,-47.35,72.32,3.29
Barabai,48,ID,1553305277,83,-2.59,115.38,83.03,2.73
Arona,0,IT,1553305264,69,45.76,8.56,52.0,8.05
Alice Springs,0,AU,1553302800,20,-23.7,133.88,96.8,14.99
Kaifeng,0,CN,1553302800,39,34.8,114.35,50.0,17.9
Kirakira,8,SB,1553305277,100,-10.46,161.92,85.1,6.42
Nushki,88,PK,1553305277,69,29.55,66.02,57.29,4.18
Caranavi,92,BO,1553305278,92,-15.83,-67.57,66.29,2.17
Linares,0,CL,1553305278,80,-35.85,-71.6,48.29,1.5
Teguldet,92,RU,1553305278,84,57.31,88.17,29.39,2.62
Boundiali,44,CI,1553305278,75,9.53,-6.48,73.76,4.97
Russell,0,AR,1553302800,56,-33.01,-68.8,68.0,3.36
Shelbyville,1,US,1553305216,73,39.41,-88.79,48.2,3.36
Tecozautla,75,MX,1553302320,28,20.53,-99.63,71.6,4.7
